iter	Passed	Remaining
0	1	119
1	2	126
2	3	126
3	4	118
4	6	118
5	7	114
6	8	106
7	8	101
8	9	96
9	10	97
10	12	98
11	12	94
12	13	92
13	14	91
14	15	88
15	16	87
16	17	84
17	17	81
18	18	80
19	20	80
20	21	80
21	22	79
22	23	78
23	24	78
24	25	76
25	26	75
26	27	74
27	28	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	35	66
35	36	65
36	37	64
37	38	63
38	40	62
39	41	61
40	42	61
41	43	59
42	45	60
43	46	59
44	47	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	54	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	61	44
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	70	31
69	71	30
70	72	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	80	18
81	81	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	85	11
88	86	10
89	87	9
90	88	8
91	88	7
92	89	6
93	89	5
94	90	4
95	91	3
96	91	2
97	92	1
98	93	0
99	94	0
