iter	Passed	Remaining
0	0	808
1	1	700
2	2	680
3	2	707
4	3	749
5	4	717
6	4	704
7	5	689
8	6	673
9	6	674
10	7	663
11	7	653
12	8	645
13	9	642
14	10	672
15	10	662
16	11	666
17	12	669
18	12	665
19	13	666
20	14	662
21	14	657
22	15	651
23	15	647
24	16	642
25	17	636
26	17	638
27	18	638
28	18	635
29	19	632
30	20	633
31	20	632
32	21	633
33	22	632
34	22	632
35	24	648
36	24	648
37	25	644
38	26	640
39	26	638
40	27	634
41	27	632
42	28	628
43	28	625
44	29	623
45	30	623
46	30	620
47	31	619
48	31	616
49	32	616
50	33	614
51	33	611
52	34	609
53	34	608
54	35	607
55	35	606
56	36	607
57	37	606
58	38	615
59	39	618
60	40	618
61	40	616
62	41	614
63	41	612
64	42	610
65	42	608
66	43	606
67	44	604
68	44	602
69	45	601
70	45	600
71	46	598
72	47	598
73	48	604
74	49	604
75	49	606
76	50	605
77	51	603
78	51	601
79	52	608
80	53	607
81	54	614
82	55	613
83	56	617
84	58	631
85	59	635
86	60	633
87	60	631
88	61	629
89	62	630
90	63	630
91	63	629
92	64	628
93	65	628
94	67	643
95	68	643
96	68	640
97	69	639
98	71	651
99	73	665
100	75	669
101	76	676
102	77	675
103	78	673
104	78	671
105	79	670
106	81	679
107	82	678
108	82	678
109	83	676
110	84	674
111	85	675
112	86	678
113	87	678
114	87	677
115	89	678
116	90	682
117	93	698
118	94	701
119	95	701
120	96	700
121	96	697
122	97	695
123	98	693
124	98	691
125	99	690
126	101	696
127	103	706
128	106	718
129	108	725
130	109	724
131	110	723
132	110	721
133	111	718
134	111	716
135	112	715
136	113	715
137	114	714
138	117	725
139	117	723
140	118	721
141	118	717
142	121	726
143	122	726
144	122	724
145	123	723
146	124	721
147	125	720
148	125	718
149	126	716
150	127	714
151	127	713
152	128	712
153	130	716
154	130	713
155	131	711
156	132	709
157	132	707
158	136	720
159	136	719
160	137	716
161	138	715
162	138	713
163	139	711
164	140	709
165	140	707
166	141	705
167	142	704
168	144	711
169	145	710
170	146	708
171	146	706
172	147	704
173	147	702
174	150	707
175	150	706
176	152	706
177	152	704
178	153	702
179	153	700
180	154	698
181	155	696
182	156	697
183	157	697
184	158	700
185	159	698
186	160	698
187	161	697
188	161	694
189	162	692
190	162	690
191	164	693
192	165	692
193	166	690
194	166	688
195	167	687
196	168	685
197	168	683
198	169	682
199	170	681
200	171	679
201	172	679
202	173	682
203	175	683
204	175	681
205	176	680
206	176	677
207	177	675
208	177	673
209	180	680
210	181	678
211	182	677
212	182	675
213	183	673
214	184	671
215	184	670
216	185	668
217	186	667
218	186	665
219	187	663
220	188	663
221	188	661
222	189	659
223	189	657
224	190	655
225	190	653
226	191	651
227	191	649
228	192	647
229	192	645
230	193	643
231	194	642
232	194	641
233	195	640
234	196	640
235	197	639
236	198	638
237	198	636
238	199	635
239	200	633
240	200	631
241	202	633
242	204	635
243	204	635
244	205	633
245	206	632
246	206	630
247	207	628
248	208	628
249	209	627
250	209	626
251	210	624
252	211	623
253	211	622
254	212	620
255	212	619
256	214	621
257	216	623
258	218	624
259	218	623
260	219	621
261	219	619
262	220	617
263	221	616
264	221	614
265	221	612
266	223	614
267	224	613
268	225	612
269	226	611
270	226	610
271	227	608
